vessel_name,owner,owner_address,vessel_type,flag,owner_location,home_port
HAI XING 717,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD","Room606,NO.1-6 Shanghui Road ,Ganlan Town,Dinghai District,Zhoushan City,Zhejiang Province",Tuna longliner,CHN,"('Zhoushan City', None)","('Zhoushan', 'CHN')"
HAI XING 716,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD","Room606,NO.1-6 Shanghui Road ,Ganlan Town,Dinghai District,Zhoushan City,Zhejiang Province",Tuna longliner,CHN,"('Zhoushan City', None)","('Zhoushan', 'CHN')"
HAI XING 715,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD","Room606,NO.1-6 Shanghui Road ,Ganlan Town,Dinghai District,Zhoushan City,Zhejiang Province",Longliner,CHN,"('Zhoushan City', None)","('Zhoushan', 'CHN')"
JIN JINN YI,"TSAI' S FISHERY CO., LTD","1F., No. 11-2, Chuantou Rd., Donggang Township, Pingtung County 928005 , Taiwan (R.O.C.)",Fish carrier,TWN,"('Pingtung County 928005', None)","('Kaohsiung', None)"
GUANG YUAN YU 339,"Guangdong Guangyuan Fishery Group Co., Ltd.","Room 1401, No.644 Tongfu Road East, Guangzhou, P.R. China",Longliner,CHN,"('Guangzhou', None)","('Guangzhou', 'CHN')"
LU RONG YUAN YU 357,"Rongcheng Ocean Fishery Co.,Ltd",Rongcheng Shandong China,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 356,"Rongcheng Ocean Fishery Co.,Ltd",Rongcheng Shandong China,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
DONGYU1537,"Zhejiang Xingpeng Ocean Fishery CO.,LTD","Room 503,5F,Building 1,No.1Xingye Road,Ganlan Town,Dinghai District,Zhoushan,Zhejiang",Longliner,CHN,"('Zhoushan', None)","('Zhoushan', 'CHN')"
DONGYU1535,"Zhejiang Xingpeng Ocean Fishery CO.,LTD","Room 503,5F,Building 1,No.1Xingye Road,Ganlan Town,Dinghai District,Zhoushan,Zhejiang",Longliner,CHN,"('Zhoushan', None)","('Zhoushan', 'CHN')"
SHUN RONG NO268,"HAI XING FISHERY CO., LTD","1F., No. 10, Ln. 38, Mingli Rd., Donggang Township, Pingtung County 928004 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 928004', None)","('Kaohsiung', None)"
DONGYU1530,"Zhejiang Xingpeng Ocean Fishery CO.,LTD","Room503,5F,Building 1, No.1 Xingye Road, GanlanTown, Dinghai, District,Zhoushan,Zhejiang",Longliner,CHN,"('Zhoushan', None)","('Zhoushan', 'CHN')"
DONGYU1527,"Zhejiang Xingpeng Ocean Fishery CO.,LTD","Room503,5F,Building 1, No.1 Xingye Road, GanlanTown, Dinghai, District,Zhoushan,Zhejiang",Longliner,CHN,"('Zhoushan', None)","('Zhoushan', 'CHN')"
CHARNG FU HUNG NO116,"CHARNG FU HUNG FISHERY CO., LTD","1F., No. 17, Yugang N. 1st Rd., Qianzhen Dist., Kaohsiung City 806043 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 806043', None)","('Kaohsiung', None)"
DONGYU1521,"Zhejiang Xingpeng Ocean Fishery CO.,LTD","Room503,5F,Building 1, No.1 Xingye Road, GanlanTown, Dinghai, District,Zhoushan,Zhejiang",Longliner,CHN,"('Zhoushan', None)","('Zhoushan', 'CHN')"
JINYANG 809,"AOXIAN(SHENZHEN)FISHERY CO.,LTD","6A-155, 6th Floor Building A Yantian Modern Industry Service Center (phase I)3018 ShaYan road Tianxin Community Sha Tou Street Yan tian District Shenzhen,china",Tuna longliner,CHN,"('6th Floor Building A Yantian Modern Industry Service Center (phase I)3018 ShaYan road Tianxin Community Sha Tou Street Yan tian District Shenzhen', 'CHN')","('Shekou', 'CHN')"
SUMBER MAKMUR 2,"SUMBER ALAM MELIMPAH, PT.","ARCADE BUSINESS CENTER 6TH FLOOR UNIT 6-03, JL. PANTAI INDAH UTARA 2 KAV. C1, KEL. KAPUK MUARA, KEC. PENJARINGAN, KOTA JAKARTA UTARA",Purse seiner,IDN,"('KEC. PENJARINGAN', None)","('Semarang', 'IDN')"
DEWATA SAMUDRA III,"SUMBER ALAM MELIMPAH, PT.","ARCADE BUSINESS CENTER 6TH FLOOR UNIT 6-03, JL. PANTAI INDAH UTARA 2 KAV. C1, KEL. KAPUK MUARA, KEC. PENJARINGAN, KOTA JAKARTA UTARA",Purse seiner,IDN,"('KEC. PENJARINGAN', None)","('Cirebon (Tjeribon)', 'IDN')"
SIN TOBA JAYA 888,"TOBA BAHARI NUSARAYA, PT.","JL. JEMBATAN III RAYA NO.36 CF, RT.001/RW.016, KEL. PENJARINGAN, KEC. PENJARINGAN, KOTA JAKARTA UTARA",Purse seiner,IDN,"('KEC. PENJARINGAN', None)","('Cirebon (Tjeribon)', 'IDN')"
LUCKY STAR PASIFIC,"SUMBER ALAM PASIFIK, PT.","JLN. DERMAGA UJUNG 1 NO. 58,, RT.010/RW.022, KEL. PLUIT, KEC. PENJARINGAN, KOTA JAKARTA UTARA",Purse seiner,IDN,"('KEC. PENJARINGAN', None)","('Semarang', 'IDN')"
JIN JINN YI NO268,"CAI, MING-JING","No. 91, Mingli Rd., Donggang Township, Pingtung County 928004 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 928004', None)","('Kaohsiung', None)"
WIN THAISHUN NO707,"WIN THAISHUN FISHERY CO., LTD","1F., No. 2-1, Houping Rd., Qianzhen Dist., Kaohsiung City 806039 , Taiwan (R.O.C.)",Tuna purse seiner,TWN,"('Kaohsiung City 806039', None)","('Kaohsiung', None)"
XIN SHI JI 210,"ZHOUSHAN PACIFIC TUNA PELAGIC FISHERY CO.,LTD","ROOM201, NO.1 SHANGHUI ROAD,GANLAN TOWN,DINGHAI DISTRICT  ,ZHOUSHAN",Longliner,CHN,"('DINGHAI DISTRICT', None)","('Zhoushan', 'CHN')"
XIN SHI JI 209,"ZHOUSHAN PACIFIC TUNA PELAGIC FISHERY CO.,LTD","ROOM201, NO.1 SHANGHUI ROAD,GANLAN TOWN,DINGHAI DISTRICT  ,ZHOUSHAN",Longliner,CHN,"('DINGHAI DISTRICT', None)","('Zhoushan', 'CHN')"
XIN SHI JI 208,"ZHOUSHAN PACIFIC TUNA PELAGIC FISHERY CO.,LTD","ROOM201, NO.1 SHANGHUI ROAD,GANLAN TOWN,DINGHAI DISTRICT  ,ZHOUSHAN",Longliner,CHN,"('DINGHAI DISTRICT', None)","('Zhoushan', 'CHN')"
XIN SHI JI 207,"ZHOUSHAN PACIFIC TUNA PELAGIC FISHERY CO.,LTD","ROOM201, NO.1 SHANGHUI ROAD,GANLAN TOWN,DINGHAI DISTRICT  ,ZHOUSHAN",Longliner,CHN,"('DINGHAI DISTRICT', None)","('Zhoushan', 'CHN')"
JIN SHENG 8,"CNFC OVERSEAS FISHERIES CO., LTD","101,1-11 Building 19,Block 18,188 West Road ,South 4th Ring Road,Fengtai District,Beijing",Longliner,CHN,"('Fengtai District', None)","('Qinhuangdao', 'CHN')"
JIN SHENG NO3,"CNFC OVERSEAS FISHERIES CO., LTD","101,1-11 Building 19,Block 18,188 West Road ,South 4th Ring Road,Fengtai District,Beijing",Tuna longliner,CHN,"('Fengtai District', None)","('Qinhuangdao', 'CHN')"
F/B PRINCESS MAVIE-888,MARCHAEL SEA VENTURES CORPORATION,"PUROK LOWER DARUSSALAM, BAWING, GENERAL SANTOS CITY",Purse seiner,PHL,"('BAWING', None)","('General Santos', 'PHL')"
F/B KANE-698,MARCHAEL SEA VENTURES CORPORATION,"PUROK LOWER DARUSSALAM, BAWING, GENERAL SANTOS CITY",Fish carrier,PHL,"('BAWING', None)","('General Santos', 'PHL')"
LU RONG YUAN YU 889,"RONGCHENG OCEAN FISHERY CO., LTD","Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Longliner,CHN,"('Weihai City', None)","('Shidao', 'CHN')"
LU RONG YUAN YU 686,"Rongcheng Ocean Fishery Co.,Ltd","Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Longliner,CHN,"('Weihai City', None)","('Shidao', 'CHN')"
HONG YANG 88,"RONGCHENG OCEAN FISHERY CO., LTD","Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Longliner,CHN,"('Weihai City', None)","('Shidao', 'CHN')"
HONG YANG 9,"RONGCHENG OCEAN FISHERY CO., LTD","Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Longliner,CHN,"('Weihai City', None)","('Shidao', 'CHN')"
HONG YANG 8,"RONGCHENG OCEAN FISHERY CO., LTD","Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",Longliner,CHN,"('Weihai City', None)","('Shidao', 'CHN')"
F/B KANE-878,MARCHAEL SEA VENTURES CORPORATION,"PUROK LOWER DARUSSALAM, BAWING, GENERAL SANTOS CITY",Fish carrier,PHL,"('BAWING', None)","('General Santos', 'PHL')"
FENG HUI 18,"ZHEJIANG FENGHUI OCEAN FISHERIES CO.,LTD","2F Zhouyu Service Company, No 1 Xinghai Road , Shenjiamen St. Putuo District Zhoushan Free Trade Zone(ZHEJIANG) China",Longliner,CHN,"('No 1 Xinghai Road', None)","('Zhoushan', 'CHN')"
FENG HUI 17,"ZHEJIANG FENGHUI OCEAN FISHERIES CO.,LTD","2F Zhouyu Service Company, No 1 Xinghai Road , Shenjiamen St. Putuo District Zhoushan Free Trade Zone(ZHEJIANG) China",Longliner,CHN,"('No 1 Xinghai Road', None)","('Zhoushan', 'CHN')"
FENG HUI 8,"ZHEJIANG FENGHUI OCEAN FISHERIES CO.,LTD","2F Zhouyu Service Company, No 1 Xinghai Road , Shenjiamen St. Putuo District Zhoushan Free Trade Zone(ZHEJIANG) China",Longliner,CHN,"('No 1 Xinghai Road', None)","('Zhoushan', 'CHN')"
FENG HUI 7,"ZHEJIANG FENGHUI OCEAN FISHERIES CO.,LTD","2F Zhouyu Service Company, No 1 Xinghai Road , Shenjiamen St. Putuo District Zhoushan Free Trade Zone(ZHEJIANG) China",Longliner,CHN,"('No 1 Xinghai Road', None)","('Zhoushan', 'CHN')"
FENG HUI 6,"ZHEJIANG FENGHUI OCEAN FISHERIES CO.,LTD","2F Zhouyu Service Company, No 1 Xinghai Road , Shenjiamen St. Putuo District Zhoushan Free Trade Zone(ZHEJIANG) China",Longliner,CHN,"('No 1 Xinghai Road', None)","('Zhoushan', 'CHN')"
FENG HUI 5,"ZHEJIANG FENGHUI OCEAN FISHERIES CO.,LTD","2F Zhouyu Service Company, No 1 Xinghai Road , Shenjiamen St. Putuo District Zhoushan Free Trade Zone(ZHEJIANG) China",Longliner,CHN,"('No 1 Xinghai Road', None)","('Zhoushan', 'CHN')"
CENTURY RANGER,"OCEAN RANGER CO.,LTD","BOE DISTRICT, REPUBLIC OF NAURU",Purse seiner,NRU,"('BOE DISTRICT', None)","('Nauru', 'NRU')"
CENTURY PRIDE,"OCEAN PRIDE CO., LTD.","BOE DISTRICT,REPUBLIC OF NAURU",Purse seiner,NRU,"('BOE DISTRICT', None)","('Nauru', 'NRU')"
KAOHSIUNG MANZAI 707,KAOHSIUNG MANZAI CORP. LTD,"BOE DISTRICT, REPUBLIC OF NAURU",Purse seiner,NRU,"('BOE DISTRICT', None)","('Nauru', 'NRU')"
FENG XIANG 818,"Ningbo Yongfa Ocean Fisheries CO.,LTD","ROOM 1606 DIAMOND PLAZA,415 JIANGAN ROAD,JIANGBEI DISTRICT,NINGBO,CHINA",Purse seiner,CHN,"('NINGBO', 'CHN')","('Ningbo', 'CHN')"
ZHOU YUAN YU 2608,"Zhoushan Haihong Ocean Fisheries CO., LTD","No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Longliner,CHN,"('Zhoushan City', None)","('Zhoushan', 'CHN')"
ZHOU YUAN YU 2606,"Zhoushan Haihong Ocean Fisheries CO., LTD","No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Longliner,CHN,"('Zhoushan City', None)","('Zhoushan', 'CHN')"
ZHOU YUAN YU 2601,"Zhoushan Haihong Ocean Fisheries CO., LTD","No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",Longliner,CHN,"('Zhoushan City', None)","('Zhoushan', 'CHN')"
LU RONG YUAN YU 589,"RONGCHENG MASHAN OCEAN FISHERY CO.,LTD",Mashan Chengshan Town Rongcheng Ciry,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 326,"RONGCHENG  MASHAN OCEAN FISHERY CO., LTD",Mashan Chengshan Town Rongcheng Ciry,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
TIAN XIANG 168,"RONGCHENG MASHAN OCEAN FISHERY CO.,LTD",Mashan Chengshan Town Rongcheng Ciry,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 598,"RONGCHENG MASHAN OCEAN FISHERY CO.,LTD",Mashan Chengshan Town Rongcheng Ciry,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 315,"RONGCHENG MASHAN OCEAN FISHERY CO.,LTD","MASHAN,CHENGSHAN TOWN,RONGCHENG CITY",Longliner,CHN,"('CHENGSHAN TOWN', None)","('Shidao', 'CHN')"
LB V-298,MARCHAEL SEA VENTURES CORPORATION,"PUROK LOWER DARUSSALAM, BAWING, GENERAL SANTOS CITY",Unknown abbreviation,PHL,"('BAWING', None)","('General Santos', 'PHL')"
F/B KANE-278,MARCHAEL SEA VENTURES CORPORATION,"PUROK LOWER DARUSSALAM, BAWING, GENERAL SANTOS CITY",Fish carrier,PHL,"('BAWING', None)","('General Santos', 'PHL')"
LB V-398,MARCHAEL SEA VENTURES CORPORATION,"PUROK LOWER DARUSSALAM, BAWING, GENERAL SANTOS CITY",Unknown abbreviation,PHL,"('BAWING', None)","('General Santos', 'PHL')"
LB V-498,MARCHAEL SEA VENTURES CORPORATION,"PUROK LOWER DARUSSALAM, BAWING, GENERAL SANTOS CITY",Unknown abbreviation,PHL,"('BAWING', None)","('General Santos', 'PHL')"
LU RONG YUAN YU 297,"RONGCHENG MASHAN OCEAN FISHERY CO.,LTD",Mashan Chengshan Town Rongcheng Ciry,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 596,"Shandong Shawodao Ocean Fishery Co.,Ltd",Shawo Island Renhe Town Rongcheng City,Tuna longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 659,"Shandong shawodao ocean fishery co., ltd",Shawodao Renhe County Rongcheng Shandong City CHINA,Tuna longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 658,"Shandong shawodao ocean fishery co.,ltd",Shawodao Renhe County Rongcheng Shandong City CHINA,Tuna longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 559,"Shandong shawodao ocean fishery co., ltd",Shawodao Renhe County Rongcheng Shandong City CHINA,Tuna longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 558,"Shandong shawodao ocean fishery co., ltd",Shawodao Renhe County Rongcheng Shandong City CHINA,Longliner,CHN,"(None, None)","('Shidao', 'CHN')"
LU RONG YUAN YU 778,"Shandong Shawodao Ocean Fishery Co.,Ltd","Shawo Island,Renhe Town, Rongcheng City,Shandong,China",Longliner,CHN,"('Shandong', 'CHN')","('Shidao', 'CHN')"
LU RONG YUAN YU 769,"Shandong Shawodao Ocean Fishery Co.,Ltd","Shawo Island,Renhe Town, Rongcheng City,Shandong,China",Longliner,CHN,"('Shandong', 'CHN')","('Shidao', 'CHN')"
LU RONG YUAN YU 768,"Shandong Shawodao Ocean Fishery Co.,Ltd","Shawo Island,Renhe Town, Rongcheng City,Shandong,China",Longliner,CHN,"('Shandong', 'CHN')","('Shidao', 'CHN')"
LU RONG YUAN YU 758,"Shandong Shawodao Ocean Fishery Co.,Ltd","Shawo Island,Renhe Town, Rongcheng City,Shandong,China",Longliner,CHN,"('Shandong', 'CHN')","('Shidao', 'CHN')"
LIAOYUANYU103,"Zhoushan Enze Marine Fisheries CO.,LTD.","Station18,Room 401,Building 2,No.3,Shanghui Road,Ganlan Town,Dinghai District,Zhoushan City,Zhejiang Province CHINA",Longliner,CHN,"('Zhoushan City', None)","('Zhoushan', 'CHN')"
LIAOYUANYU101,"Zhoushan Enze Marine Fisheries CO.,LTD.","Station18,Room 401,Building 2,No.3,Shanghui Road,Ganlan Town,Dinghai District,Zhoushan City,Zhejiang Province CHINA",Longliner,CHN,"('Zhoushan City', None)","('Zhoushan', 'CHN')"
GUANG YUAN YU 338,"Guangdong Guangyuan Fishery Group Co., Ltd.","Room 1401, No.644 Tongfu Road East, Guangzhou, P.R. China",Longliner,CHN,"('Guangzhou', None)","('Guangzhou', 'CHN')"
SUIYUANYU39,GUANGZHOU PELAGIC FISHERY CO. LTD.,"Pharmaceutical Building, NO.2846 Xingang East Road, Haizhu District, Guangzhou, China",Longliner,CHN,"('Guangzhou', 'CHN')","('Guangzhou', 'CHN')"
SUIYUANYU36,GUANGZHOU PELAGIC FISHERY CO. LTD.,"Pharmaceutical Building,NO.2846,Xingang East Road,Haizhu District,Guangzhou",Longliner,CHN,"('Haizhu District', None)","('Guangzhou', 'CHN')"
SUIYUANYU33,GUANGZHOU PELAGIC FISHERY CO. LTD.,"Pharmaceutical Building,NO.2846,Xingang East Road,Haizhu District,Guangzhou",Longliner,CHN,"('Haizhu District', None)","('Guangzhou', 'CHN')"
SUIYUANYU31,GUANGZHOU PELAGIC FISHERY CO. LTD.,"Pharmaceutical Building,NO.2846,Xingang East Road,Haizhu District,Guangzhou",Longliner,CHN,"('Haizhu District', None)","('Guangzhou', 'CHN')"
SUIYUANYU30,GUANGZHOU PELAGIC FISHERY CO. LTD.,"Pharmaceutical Building,NO.2846,Xingang East Road,Haizhu District,Guangzhou",Longliner,CHN,"('Haizhu District', None)","('Guangzhou', 'CHN')"
RYUSHO MARU,"Kurohara,Takamori","6778, KURE, NAKATOSA-CHO, TAKAOKA-GUN, KOCHI, JAPAN",Tuna longliner,JPN,"('KOCHI', 'JPN')","('Nakatosa', 'JPN')"
JINGYUAN906,"Yantai Jingyuan Fisheries Co., Ltd","No.22 Xianjingdong Road,Xingang Street, Penglai District, Yantai City, Shandong Province,China",Tuna longliner,CHN,"('Shandong Province', 'CHN')","('Penglai', 'CHN')"
JINGYUAN903,"Yantai Jingyuan Fisheries Co.,Ltd","No.22 Xianjingdong Road,Xingang Street, Penglai District, Yantai City, Shandong Province,China",Tuna longliner,CHN,"('Shandong Province', 'CHN')","('Penglai', 'CHN')"
PINGTAIRONG89,"PINGTAIRONG OCEAN FISHERY GROUP CO.,LTD.","FLOOR 10-11TH, PUTUO MARINE & FISHERIES BUILDING, NO.9 WEST DONGHAI RD., SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY",Longliner,CHN,"('PUTUO DISTRICT', None)","('Zhoushan', 'CHN')"
TERAAKA,"DONGWON INDUSTRIES Co., Ltd","68, MABANG-RO, SEOCHO-GU, SEOUL, KOREA",Tuna purse seiner,KOR,"('SEOUL', None)","('Busan', None)"
JANG BO GO,"DONGWON INDUSTRIES Co., Ltd","68, MABANG-RO, SEOCHO-GU, SEOUL, KOREA",Tuna purse seiner,KOR,"('SEOUL', None)","('Busan', None)"
OCEAN ACE,"DONGWON INDUSTRIES Co., Ltd","68, MABANG-RO, SEOCHO-GU, SEOUL, KOREA",Tuna purse seiner,KOR,"('SEOUL', None)","('Busan', None)"
YI SHUNN,"LIN, CHIN-FU","No. 137-2, Fuxing Rd., Liuqiu Township, Pingtung County 929002 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 929002', None)","('Kaohsiung', None)"
HASHIMURATERU MARU,"HASHIMURA CO.,LTD","2477-1, USA, USA-CHO, TOSA-SHI, KOCHI, JAPAN",Tuna longliner,JPN,"('KOCHI', 'JPN')","('Kochi', 'JPN')"
TAIYO WAAB,Taiyo Micronesia Corporation,"c/o Kapwarsou Street, NFC Building, P.O. Box R, Kolonia, Pohnpei FM 96941",Purse seiner,FSM,"('Kolonia', None)","('Pohnpei', None)"
TAIYO POHNPEI,TAIYO MICRONESIA CORPORATION,"Kapwar Sou Street NFC BuildingP.O. Box RKolonia, Pohnpei State, FM 96941",Purse seiner,FSM,"('Pohnpei State', None)","('Pohnpei', None)"
NO 1 POHAH,"NOK CO. LTD., S.A","5TH FLOOR OF CEMENTO PANAMA BUILDING, P.O. BOX 4493, PANAMA 5, REPUBLIC OF PANAMA",Fish carrier,PAN,"('PANAMA 5', None)","('Panama', 'PAN')"
EURO STAR,"EURO STAR SHIPPING, INC","19TH FLOOR, BANCO GENERAL TOWER, AQUILINO DE LA GUARDIA STREET MARBELLA, PANAMA CITY, REPUBLIC OF PANAMA",Fish carrier,PAN,"('PANAMA CITY', None)","('Panama', 'PAN')"
JONATHAN STAR,JONATHAN STAR SHIPPING INC.,"WILLIAMSON PLACE, BUILDING 0764-F, LA BOCA, BALBOA, PANAMA,PANAMA CITY, THE REPUBLIC OF PANAMA",Fish carrier,PAN,"('PANAMA CITY', None)","('Panama', 'PAN')"
SHUI HO CHENG NO3,"LI, NENG-HUAI","No.15, Sanmin Rd., Liuqiu Township, Pingtung County 92943, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92943', None)","('Kaohsiung', None)"
MARCEL JAYA 98,"Marcelindo Citra Lestari, PT.","Kawasan Balai Teknologi Penangkapan Ikan, Jl. Mandala Bahari No. 1 Muara Angke, Kel. Pluit, Kec. Penjaringan, Kota Jakarta Utara",Purse seiner,IDN,"('Kec. Penjaringan', None)","('Semarang', 'IDN')"
MARCEL JAYA - 09,"Marcelindo Citra Lestari, PT.","Kawasan Balai Teknologi Penangkapan Ikan, Jl. Mandala Bahari No. 1 Muara Angke, Kel. Pluit, Kec. Penjaringan, Kota Jakarta Utara",Purse seiner,IDN,"('Kec. Penjaringan', None)","('Cirebon (Tjeribon)', 'IDN')"
BINTANG MAS KHARISMA,"Marcelindo Citra Lestari, PT.","Kawasan Balai Teknologi Penangkapan Ikan, Jl. Mandala Bahari No. 1 Muara Angke, Kel. Pluit, Kec. Penjaringan, Kota Jakarta Utara",Purse seiner,IDN,"('Kec. Penjaringan', None)","('Cirebon (Tjeribon)', 'IDN')"
MARCEL JAYA - 26,"Marcelindo Citra Lestari, PT.","Kawasan Balai Teknologi Penangkapan Ikan, Jl. Mandala Bahari No. 1 Muara Angke, Kel. Pluit, Kec. Penjaringan, Kota Jakarta Utara",Purse seiner,IDN,"('Kec. Penjaringan', None)","('Benoa, Bali', 'IDN')"
ZHONG SHUI 810,"CNFC OVERSEAS FISHERIES CO., LTD","NO. 23 JINRONGJIE, XICHENG DISTRICT, BEIJING",Longliner,CHN,"('XICHENG DISTRICT', None)","('Yantai', 'CHN')"
RONGHENG68,"SHENZHEN RONGHENG OCEAN FISHERY CO.,LTD.","ROOM 1805B,SHENZHEN DAZHONGHUA INTERNATIONAL TRADING PLAZA,NO.1 FUHUA FIRST ROAD,FU'AN COMMUNITY,FUTIAN STREET,FUTIAN DISTRICT,SHENZHEN CITY",Longliner,CHN,"('FUTIAN DISTRICT', None)","('Shekou', 'CHN')"
RONGHENG41,"ZHOUSHAN RONGYOURONG OCEAN FISHERY CO.,LTD.","FLOOR 11TH,WEST ROOM NO.1,PUTUO OCEAN & FISHERIES BUILDING,9 WEST DONGHAI ROAD,SHENJIAMEN STREET,PUTUO DISTRICT,ZHOUSHAN CITY,CHINA(ZHEJIANG) PILOT FREE TRADE ZONE",Longliner,CHN,"('ZHOUSHAN CITY', None)","('Zhoushan', 'CHN')"
RONGHENG19,"ZHOUSHAN RONGYOURONG OCEAN FISHERY CO.,LTD.","FLOOR 11TH,WEST ROOM NO.1,PUTUO OCEAN & FISHERIES BUILDING,9 WEST DONGHAI ROAD,SHENJIAMEN STREET,PUTUO DISTRICT,ZHOUSHAN CITY,CHINA(ZHEJIANG) PILOT FREE TRADE ZONE",Longliner,CHN,"('ZHOUSHAN CITY', None)","('Zhoushan', 'CHN')"
RONGYE135,"ZHOUSHAN RONGYOURONG OCEAN FISHERY CO.,LTD.","FLOOR 11TH,WEST ROOM NO.1,PUTUO OCEAN & FISHERIES BUILDING,9 WEST DONGHAI ROAD,SHENJIAMEN STREET,PUTUO DISTRICT,ZHOUSHAN CITY,CHINA(ZHEJIANG) PILOT FREE TRADE ZONE",Longliner,CHN,"('ZHOUSHAN CITY', None)","('Zhoushan', 'CHN')"
NO302 DAE HWA,"DAEHAE FISHERIES CO.,LTD","SAEBYEOKSIJANG-GIL 35, SEO-GU, BUSAN, KOREA",Tuna longliner,KOR,"('BUSAN', None)","('Busan', None)"
NO308 DAE HWA,"DAEHAE FISHERIES CO.,LTD","SAEBYEOKSIJANG-GIL 35, SEO-GU, BUSAN, KOREA",Tuna longliner,KOR,"('BUSAN', None)","('Busan', None)"
SEIN SKY,"SEIN SHIPPING CO.,LTD","3RD FLOOR,87, BAUMOE-RO 41-GIL, SEOCHO-GU, SEOUL, REPUBLIC OF KOREA",Fish carrier,KOR,"('SEOUL', None)","('Jeju', None)"
KHAYA STAR,EURL VANA VANA,Port de Peche Fare Ute - BP 6331 Faa'a Tahiti,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
TAGNI,SCA TE ARA ROA,"Toahotu PK 2,8 c/mer - BP 8750 - 98719 TARAVAO",Tuna longliner,PYF,"('Toahotu PK 2', None)","('Papeete', 'PYF')"
VINI VINI IX,VINI VINI LONG LINE Products (EURL),Port de Peche Fare Ute - BP 6331 Faa'a Tahiti,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
TUAHITI,SCA TUANUI,BP 9069 Papeete 98715 Tahiti - Polynesie francaise,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
VINI VINI VII,VINI VINI LONG LINE Products (EURL),Port de Peche Fare Ute - BP 6331 Faa'a Tahiti,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
RIYANI,SCA TE VAI PIHAA,MAHAREPA - BP712 - 98728 MOOREA - PF,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
LADY EN,ENCORE FISHERY LLC,"2421 ALA WAI BLVD APT 1904, HONOLULU, CA 96815-3487, USA",Tuna longliner,USA,"('CA 96815-3487', None)","('Honolulu', None)"
PACIFIC DRAGON,LNK FISHERY LLC,"954 ALA LEHUA ST, HONOLULU, HI 96818-2302, USA",Tuna longliner,USA,"('HI 96818-2302', None)","('Honolulu', None)"
STORMI,STORMI VENTURES LLC,"424 S BEVERLY DR UNIT 1231, BEVERLY HILLS, CA 90212-4402, USA",Tuna longliner,USA,"('CA 90212-4402', None)","('Honolulu', None)"
TUNA STAR,"S.F.OCEAN ENTERPRISE CO., LTD","First Floor, Law Partners House, Lini Highway, P.O.Box 1019, Port Vila, Vanuatu",Tuna longliner,VUT,"('Port Vila', 'VUT')","('Port Vila', 'VUT')"
SHUN MENG,"SHUN MENG FISHERY CO., LTD., YU SHUN CHOU","First Floor, Law Partners House, Lini Highway, P.O.Box 1019, Port Vila, Vanuatu",Tuna longliner,VUT,"('Port Vila', 'VUT')","('Port Vila', 'VUT')"
YI TIAN,"HONGSHENG FISHERIES CO.,LTD.","2F.-2, No. 82, Houping Rd., Qianzhen Dist., Kaohsiung City 806039 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 806039', None)","('Kaohsiung', None)"
