original_address,new_address,owner_providence_state,owner_country,owner_latitude,owner_longitude
"4-17-10, NISHIZAKI-CHO, ITOMAN-CITY, OKINAWA, JAPAN","4-17-10, Nishizaki-cho, Itoman-city, Okinawa",Okinawa,JPN,26.1214,127.6589
"1-21-24, KORIMOTO, KAGOSHIMA-SHI, KAGOSHIMA-KEN, JAPAN","1-21-24, Korimoto","Kagoshima-shi, Kagoshima-ken",JPN,31.56,130.55778
"1978, MUKAIYAMA-AZA, SUSAKI, SUSAKI-SHI, KOCHI-KEN, JAPAN","1978, Mukaiyama-aza, Susaki, Susaki-shi, Kochi-ken",Kochi,JPN,33.36712,132.85555
"15-12, YAMATE-CHO, SUSAKI-SHI, KOCHI, JAPAN","15-12, Yamate-Cho, Susaki-Shi, Kochi",Kochi,JPN,33.30832,133.4725
"1978,AZA-MUKAIYAMA,SUSAKI,SUSAKI-SHI,KOCHI,JAPAN","1978, Aza-Mukaiyama, Susaki, Susaki-shi, Kochi",Kochi,JPN,33.34333,133.325
"1978,AZA-MUKAIYAMA,  SUSAKI, SUSAKI-SHI, KOCHI, JAPAN","1978, Aza-Mukaiyama, Susaki, Susaki-shi, Kochi",Kochi,JPN,33.37919,133.24351
"1978 MUKAIYAMA, AZA, SUSAKI, SHUSAKI-SHI, KOCHI, JAPAN","1978 MUKAIYAMA, AZA, SUSAKI, SHUSAKI-SHI, KOCHI",Kochi,JPN,33.28,133.51972
"2-11, UOICHIBAMAE, KESENNUMA-SHI, MIYAGI, JAPAN","2-11, UOICHIBAMAE, KESENNUMA-SHI, MIYAGI",Miyagi,JPN,38.90889,141.58
"1-2-2, IZUMIZAKI, NAHA-SHI, OKINAWA","1-2-2, Izumizaki","Naha-shi, Okinawa",JPN,26.2129,127.67933
"127,SAZARAURA, MINAMIISE-CHO, WATARAI-GUN, MIE, JAPAN","127, Sazaraura, Minamiise-cho, Watarai-gun, Mie",Mie,JPN,34.4663,136.1768
"7-7,HIGASHIKOUEN,HAKATA-KU,FUKUOKA-SHI,FUKUOKA,JAPAN","7-7, Higashikouen, Hakata-ku, Fukuoka-shi, Fukuoka",Fukuoka,JPN,33.5955,130.42003
"21-1,AZA-TAKEGASIMA, SHISHIKUIURA, KAIYO-CHO, KAIFU-GUN, TOKUSHIMA, JAPAN","21-1, Aza-Takegasima, Shishikuiura, Kaiyo-cho, Kaifu-gun, Tokushima",Tokushima,JPN,33.52944,134.37111
"4788,NAKAMURA-OTSU, NANGO-CHO, NICHINAN-SHI, MIYAZAKI, JAPAN","4788 Nakamura-Otsu, Nango-cho, Nichinan-shi, Miyazaki -- Miyazaki -- JPN -- 31.18278 -- 131.38333",,,,
"3-11-2, HAMA-CHO, KAMAISHI-SHI, IWATE-KEN, JAPAN","3-11-2, HAMA-CHO, KAMAISHI-SHI, IWATE-KEN",Iwate,JPN,39.28944,141.8993
"3-11-2, HAMA-CHO,  KAMAISHI-SHI, IWATE-KEN, JAPAN","3-11-2, Hama-cho","Kamaishi-shi, Iwate-ken",JPN,39.26833,141.88611
"3-11-2,HAMA-CHO,KAMAISHI-SHI,IWATE-KEN,JAPAN",3-11-2 Hama-cho,"Kamaishi-shi, Iwate-ken",JPN,39.27667,141.87
"3-11-2, HAMACHO, KAMAISHISHI, IWATE, JAPAN","3-11-2, Hamacho, Kamaishi-shi, Iwate",Iwate,JPN,39.27633,141.89932
"2-A SHINRYOMANSHON 2-16-19MAKABI, NAHA-SHI, OKINAWA-KEN, JAPAN",2-A Shinryomanshon 2-16-19 Makabi,"Naha-shi, Okinawa-ken",JPN,26.21944,127.685
"1-64-3, Kawaguchicho, Kesennuma-shi, Miyagi, Japan","1-64-3, Kawaguchicho, Kesennuma-shi, Miyagi",Miyagi,JPN,38.91603,141.5937
"21 KIRIMA-MINAMI, SUSAKI-SHI, KOCHI, JAPAN","21 KIRIMA-MINAMI, SUSAKI-SHI, KOCHI",Kochi,JPN,33.29541,133.27568
"1-5-28, HON-MACHI, YAIZU-SHI, SHIZUOKA-KEN, JAPAN","1-5-28, Hon-machi, Yaizu-shi, Shizuoka-ken",Shizuoka,JPN,34.925,138.263
"1-7-6, NISHI-MACHI, NICHINAN-SHI, MIYAZAKI,JAPAN","1-7-6, Nishi-Machi, Nichinan-Shi, Miyazaki -- Miyazaki -- JPN -- 31.25100 -- 131.36472",,,,
"65 EI-MACHI SAKAIMINATO-SHI TOTTORI, JAPAN",65 EI-MACHI SAKAIMINATO-SHI TOTTORI,Tottori,JPN,35.572,133.248
"64,MATSUNOO-CHO,MAKURAZAKI-SHI,KAGOSHIMA,JAPAN","64 Matsunoo-cho, Makurazaki-shi, Kagoshima -- Kagoshima -- JPN -- 31.35278 -- 130.22722",,,,
"2-9-34,SHINHAMA-CHO, SHIOGAMA-SHI, MIAYGI, JAPAN","2-9-34, Shinhama-cho, Shiogama-shi, Miyagi",Miyagi,JPN,38.29612,141.01638
"2-9-34, Shinhamacho, Shiogama-shi, Miyagi-ken, Japan","2-9-34, Shinhamacho, Shiogama-shi, Miyagi-ken",Miyagi,JPN,38.29988,141.03394
"2071-16, MOTO-KOU, MUROTO-SHI, KOCHI, JAPAN","2071-16, MOTO-KOU, MUROTO-SHI, KOCHI",Kochi,JPN,33.18375,144.21503
"2071-16,MOTOKOU,MUROTO-SHI,KOCHI-KEN,JAPAN","2071-16, Motokou, Muroto-shi, Kochi-ken",Kochi,JPN,33.28788,133.86111
"201-1, AZAMIYAGASAKI, MIYAGASAKI, ONAGAWA-CHO, OSHIKA-GUN, MIYAGI-KEN, JAPAN","201-1, Azamiyagasaki, Miyagasaki, Onagawa-cho, Oshika-gun, Miyagi-ken, Japan",Miyagi-ken,JPN,38.465,141.34167
"NYUTAUNREJIDENSU101 1-14-3, AJYA, NAHA-SHI, OKINAWA,JAPAN","NYUTAUNREJIDENSU 101 1-14-3, AJYA","Naha-shi, Okinawa",JPN,26.21212,127.67845
"5590,OMAEZAKI, OMAEZAKI-SHI, SHIZUOKA, JAPAN",5590 OMAEZAKI,Shizuoka Prefecture,JPN,34.71,138.225
"5590, OMAEZAKI, OMAEZAKI-SHI, SHIZUOKA, JAPAN","5590 OMAEZAKI, OMAEZAKI-SHI, SHIZUOKA",Shizuoka,JPN,34.61667,138.21667
"5590,OMAEZAKI,OMAEZAKI-SHI,SHIZUOKA-KEN, ,JAPAN.","5590 Omaezaki, Omaezaki-shi, Shizuoka-ken -- Shizuoka -- JPN -- 34.58410 -- 138.24361",,,,
"TOPPUWAN SHIKOKU,4-110-1108, KUTANDA, KOCHI-SHI, KOCHI, JAPAN","TOPPUWAN SHIKOKU, 4-110-1108, KUTANDA, KOCHI-SHI, KOCHI",Kochi,JPN,33.55944,133.53017
"2-5-40,SHINHAMACHO,SHIOGAMA-SHI,MIYAGI-KEN,JAPAN","2-5-40, Shinhamacho, Shiogama-shi, Miyagi-ken, Japan",Miyagi,JPN,38.305,141.025
"1794-36, OSHIMA, KUSHIMOTO-CHO, HIGASHIMURO-GUN, WAKAYAMA-KEN, JAPAN","1794-36, Oshima","Kushimoto-cho, Higashimuro-gun",JPN,33.48492,135.76338
"134-10,UKITSU,MUROTO-SHI, KOCHI, JAPAN","134-10, UKITSU, MUROTO-SHI, KOCHI",KOCHI,JPN,33.28748,32.05484
"5627-5, OOAZA-HEDA, KAWAMINAMI-CHOU, KOYU-GUN, MIYAZAKI,JAPAN","5627-5, OOAZA-HEDA, KAWAMINAMI-CHOU, KOYU-GUN, MIYAZAKI",Miyazaki,JPN,31.7261,131.24167
"8-6-42,OBI,NICHINAN-SHI,MIYAZAKI-KEN,JAPAN","8-6-42, OBI, NICHINAN-SHI, MIYAZAKI-KEN",Miyazaki,JPN,31.10736,131.61192
"1-6-15,BENTENCHO, KESENNUMA-SHI, MIYAGI-KEN, JAPAN","1-6-15, Bentencho, Kesennuma-shi, Miyagi-ken","Kesennuma-shi, Miyagi",JPN,38.91,141.5775
"1344-3, TAJIRI, YAIZU-SHI, SHIZUOKA-KEN, JAPAN","1344-3, Tajiri, Yaizu-shi, Shizuoka-ken",Shizuoka,JPN,34.86667,138.2975
"1344-3 Tajiri, Yaizu-shi, Shizuoka-ken, Japan",1344-3 Tajiri,"Yaizu-shi, Shizuoka-ken",JPN,34.7638,138.3263
"1344-3, TAJIRI,YAIZU-SHI, SHIZUOKA, JAPAN","1344-3 Tajiri, Yaizu-shi, Shizuoka -- Shizuoka -- JPN -- 34.86642 -- 138.31641",,,,
"4-11, 2CHOME, SAKANAMACHI, KESENNUMA-SHI, MIYAGI, JAPAN","4-11, 2CHOME, SAKANAMACHI, KESENNUMA-SHI, MIYAGI",Miyagi,JPN,38.93278,141.58278
1-5-7-1 NISHIZAKI ITOMAN-SHI OKINAWA JAPAN,1-5-7-1 Nishizaki,"Itoman-shi, Okinawa",JPN,26.099,127.6745
"2-9-34,SHINHAMA-CHO, SHIOGAMA-SHI, MIYAGI-KEN, JAPAN","2-9-34, Shinhama-cho, Shiogama-shi, Miyagi-ken",Miyagi,JPN,38.2914,141.03357
4-69 KAMIMACHI KUWAGASAKI MIYAKO-SHI IWATE-KEN JAPAN,4-69 Kamimachi Kuwagasaki Miyako-shi,Iwate-ken,JPN,39.63477,141.96252
"65-5, AZA-UETA, TOMIGUSUKU-SHI, OKINAWA-KEN, JAPAN","65-5, AZA-UETA, TOMIGUSUKU-SHI, OKINAWA-KEN -- Okinawa -- JPN -- 26.14833 -- 127.68222",,,,
"280, AZA Daimonzaki, Minato, ISHINOMAKI-SHI, MIYAGI-KEN, JAPAN","280, AZA Daimonzaki, Minato, Ishinomaki-shi, Miyagi-ken",Miyagi,JPN,38.43968,141.30989
"65-5, AZA-UETA, TOMIGUSUKU-SHI, OKINAWA,JAPAN","65-5, Aza-Ueta, Tomigusuku-shi",Okinawa,JPN,26.16,127.655
"15-12,YAMATE-CHO,SUSAKI-SHI,KOCHI,JAPAN","15-12 Yamate-cho, Susaki-shi",Kochi,JPN,32.58833,133.26139
"1-17-29,SHINHAMA-CHO,SHIOGAMA-SHI,MIYAGI,JAPAN","1-17-29, Shinhama-cho, Shiogama-shi, Miyagi",Miyagi,JPN,38.28131,141.02248
"4871-2,NAKAMURA-OTSU, NANGO-CHO, NICHINAN-SHI, MIYAZAKI-KEN, JAPAN","4871-2, Nakamura-Otsu, Nango-cho, Nichinan-shi, Miyazaki-ken",Miyazaki,JPN,31.29718,131.12688
"2-7 BANDAIJIMA, CHUO-KU, NIIGATA-SHI, NIIGATA-KEN, JAPAN","2-7 Bandaijima, Chuo-ku, Niigata-shi, Niigata-ken",Niigata,JPN,37.91789,138.91689
"1-9,NAKAMURA-CHO,OWASE-SHI,MIE-KEN,JAPAN","1-9, Nakamura-cho","Owase-shi, Mie-ken",JP,34.1825,136.265
1-1-25-2830 OMOROMACHI NAHA=SHI OKINAWA JAPAN,1-1-25-2830 Omoromachi,"Naha-shi, Okinawa",JPN,26.215,127.67857
"1-2-20,MARUNOUCHI,KOCHI-SHI,KOCHI,JAPAN","1-2-20, Marunouchi, Kochi-shi, Kochi",Kochi,JPN,33.56,133.53
"161-1-303, HOTARUBASHI-DAI2, LIONS-MANSION, AZA-DAIDO, NAHA-CITY, OKINAWA,JAPAN","161-1-303, Hotarubashi-Dai2, Lions-Mansion, Aza-Daido","Naha-City, Okinawa",JPN,26.21417,127.68167
"2-8, ISHIZUMINATO-CHO, YAIZU-SHI, SHIZUOKA-KEN, JAPAN","2-8, ISHIZUMINATO-CHO, YAIZU-SHI, SHIZUOKA-KEN",Shizuoka,JPN,34.846,138.265
"2-8,ISHIZUMINATO-CHO,YAIZU-SHI, SHIZUOKA-KEN,.JAPAN","2-8, Ishizuminato-cho, Yaizu-shi, Shizuoka-ken -- Shizuoka -- JPN -- 34.88111 -- 138.29778",,,,
"1441-1, HABUCHI, YAIZU-SHI, SHIZUOKA-KEN, JAPAN","1441-1, Habuchi","Yaizu-shi, Shizuoka-ken",JPN,34.86628,138.26153
"1025, SHICHIRUI, MIHONOSEKI-CHO, MATSUE-SHI, SHIMANE, JAPAN","1025, Shichirui, Mihonoseki-cho, Matsue-shi, Shimane",Shimane,JPN,35.43333,133.06667
"218-1, AZA-OU, TAMAGUSUKU, NANJOU-SHI, OKINAWA,JAPAN","218-1, Aza-Ou, Tamagusuku, Nanjou-shi, Okinawa",Okinawa,JPN,26.15283,127.68178
"Kita 3-jo, Nishi 6-chome, Chuo-ku, Sapporo, Hokkaido, JAPAN","Kita 3-jo, Nishi 6-chome, Chuo-ku, Sapporo, Hokkaido",Hokkaido,JPN,43.0635,141.3499
"6109-8,SAKAI,NAKATANE-CHO,KUMAGE-GUN,KAGOSHIMA, JAPAN","6109-8, SAKAI, NAKATANE-CHO, KUMAGE-GUN, KAGOSHIMA",Kagoshima,JPN,30.41357,130.94623
"156,SHIBITACHI,KARAKUWA-CHO,KESENNUMA-SHI,MIYAGI,JAPAN","156, Shibitachi, Karakuwa-cho, Kesennuma-shi, Miyagi",Miyagi,JPN,38.9131,141.64485
"156,SHIBITACHI, KARAKUWACHO, KESENNUMA-SHI,MIYAGI,JAPAN","156 Shibitachi, Karakuwacho, Kesennuma-shi, Miyagi",Miyagi,JPN,38.923,141.578
"9-6,OTEMACHI,AOI-KU,SHIZUOKA-SHI,SHIZUOKA,JAPAN","9-6, Otemachi, Aoi-ku, Shizuoka-shi, Shizuoka",Shizuoka,JPN,34.9763,138.38301
"2301-2, MOTOKOU, MUROTO-SHI, KOCHI, JAPAN","2301-2, Motokou, Muroto-shi, Kochi",Kochi,JPN,33.28,
"41,OOAZA-HOTOJIMA, TSUKUMI-SHI, OITA, JAPAN","41, OOAZA-HOTOJIMA","Tsukumi-shi, Oita",JPN,32.48944,131.84796
"1978, AZA-MUKAIYAMA,SUSAKI, SUSAKI-SHI, KOCHI, JAPAN","1978 AZA-MUKAIYAMA, SUSAKI, SUSAKI-SHI, KOCHI",Kochi,JPN,32.79478,132.9725
"1978 MUKAIYAMA AZA SUSAKI,SUSAKI-SHI,KOCHI,JAPAN",1978 Mukaiyama Aza Susaki,"Susaki-shi, Kochi",JPN,33.39,132.73
"7-6-19 TSUKIJI, NACHIKATSUURA-CHO, HIGASHIMURO-GUN, WAKAYAMA-KEN, JAPAN","7-6-19 TSUKIJI, NACHIKATSUURA-CHO, HIGASHIMURO-GUN, WAKAYAMA-KEN",Wakayama,JPN,33.59443,135.73512
"5-2-35 TSUKIJI, NACHIKATSUURA-CHO, HIGASHIMURO-GUN, WAKAYAMA-KEN, JAPAN","5-2-35 TSUKIJI, NACHIKATSUURA-CHO, HIGASHIMURO-GUN, WAKAYAMA-KEN",Wakayama,JPN,33.675,135.9625
"Betio wharf,
Betio, Tarawa,
Kiribati",Betio wharf,Tarawa,KIR,-0.495,173.01472
"Betio wharf,
Betio, Tarawa
Kiribati","Betio wharf, Betio, Tarawa",Tarawa,KIR,-0.5,172.95
"c/o Ministry of Fisheries & Marine Resources Development (MFMRD), P.O.BOX 64, Bairiki, Tarawa, Kiribati","c/o Ministry of Fisheries & Marine Resources Development (MFMRD), P.O.BOX 64, Bairiki, Tarawa",Tarawa,KIR,-0.49803,173.0364
"C/O MINISTRY OF FISHERIES & MARINERESOURCES DEVELOPMENT (MFMRD)Bairiki, Tarawa, Kiribati",C/O MINISTRY OF FISHERIES & MARINE RESOURCES DEVELOPMENT (MFMRD),"Bairiki, Tarawa",KIR,-0.49198,179.19756
"MFMRD,BAIRIKI,TARAWA","MFMRD, Bairiki",Tarawa,KIR,-1.37445,172.97612
"C/O: Ministry of Fisheries and Ocean Resources Development
Bairiki,
Tarawa","C/O: Ministry of Fisheries and Ocean Resources Development, Bairiki",Tarawa,KIR,-0.65,179.0
"C/O: Ministry of Fisheries and Ocean Resources Development
Bairiki
Tarawa
Republic of Kiribati","C/O: Ministry of Fisheries and Ocean Resources Development, Bairiki, Tarawa",Tarawa,KIR,-1.386555,172.981874
"Betio wharf,
Betio,
Tarawa,
Republic of Kiribati",Betio wharf,"Betio, Tarawa",KIR,-0.48889,175.11
"P.O. BOX 64, BAIRIKI, TARAWA,","P.O. BOX 64, Bairiki, Tarawa",Kiribati,KIR,-0.3075,179.28611
"P.O. BOX 64, BAIRIKI, TARAWA,REP. OF KIRIBATI","P.O. BOX 64, BAIRIKI, TARAWA -- Kiribati -- KIR -- -0.49862 -- -179.19545",,,,
"P.O.BOX.64, BAIRIKI, TARAWA, KIRIBATI","P.O. BOX 64, Bairiki, Tarawa",Kiribati,KIR,-0.45,179.0
"London, Kiritimati
Kiribati","London, Kiritimati -- Kiritimati -- KIR -- 2.022500 -- -157.429167",,,,
"LONDON, KIRITIMATI, KIRIBATI","LONDON, KIRITIMATI","KIRITIMATI, Kiribati",KIR,-2.0,-151.0
"#706 SAEMOONANRO 5-37, JONGNO-GU, SEOUL KOREA",706 Saemoonanro 5-37,"Jongno-gu, Seoul",KOR,37.57,126.9812
"DONGWON INDUSTRIES CO., LTD. /68, Mabang-ro, Seocho-gu, Seoul, Korea","DONGWON INDUSTRIES CO., LTD., 68, Mabang-ro, Seocho-gu, Seoul",Seoul,KOR,37.4913,127.03282
"68 MABANG-RO, SEOCHO-GU, SEOUL, KOREA","68 MABANG-RO, SEOCHO-GU",SEOUL,KOR,37.4825,127.03111
"68, MABANG-RO, SEOCHO-GU, SEOUL, KOREA",68 Mabang-ro,"Seocho-gu, Seoul",KOR,37.48263,127.03171
"2159, Namboosoonhwan-ro, Seocho-gu, Seoul, Korea","2159, Namboosoonhwan-ro, Seocho-gu",Seoul,KOR,37.48483,127.03255
"111, WONYANG-RO, SEO-GU, BUSAN, KOREA",111 Wonyang-ro,Seo-gu,KOR,35.15689,129.0554
"Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO,SEO-GU,BUSAN,KOREA","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO","Seo-gu, Busan",KOR,35.145,129.051
"63 TAEJONG-RO, YEONGDO-GU, BUSAN, KOREA","63 TAEJONG-RO, YEONGDO-GU",Busan,KOR,35.072,129.4019
"30, Godeokbizvalley-ro 6-gil,Gangdong-gu,Seoul,Republic of Korea","30 Godeokbizvalley-ro 6-gil, Gangdong-gu",Seoul,KOR,37.54977,127.1442
"4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA","4F, 38, Dongmak-ro 8-gil, Mapo-gu",Seoul,KOR,37.553404,126.934083
"Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO, SEO-GU, BUSAN, KOREA","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO, SEO-GU",Busan,KOR,35.16252,129.05845
#90 WONYANG-RO SEO-KU BUSAN KOREA,"90 Wonyang-ro, Seo-gu",Busan,KOR,35.1553,129.1038
"107-39, Tongil Ro,Seodaemun-gu,Seoul, Korea",107-39 Tongil Ro,"Seodaemun-gu, Seoul",KOR,37.56874,126.95659
"107-39, Tongil-Ro, Seodaemun-gu, Seoul, KOREA","107-39, Tongil-Ro, Seodaemun-gu, Seoul",Seoul,KOR,37.57778,126.96583
"107-39, TONGIL-RO, SEODAEMUN-GU, SEOUL, KOREA","107-39 Tongil-ro, Seodaemun-gu",Seoul,KOR,37.56654,126.96532
"2159, NAMBUSUNHWAN-RO, SEOCHO-GU, SEOUL, KOREA",2159 Nambusunhwan-ro,"Seocho-gu, Seoul",KOR,37.48776,127.03074
CLS TRITON ADV+FFA/ 051-6633-161,CLS TRITON ADV+FFA/ 051-6633-161,Providence/State: Not specified,Country (three letter abbreviation): Not specified,,
"Delap Village P.O. Box 1289 Majuro, Republic of the Marshall Islands 96960",Delap Village P.O. Box 1289,Majuro,MH,7.099662,171.380052
"Majuro, Marshall Islands 96960P.O. Box 321","Majuro, Marshall Islands 96960 P.O. Box 321",Majuro/Marshall Islands,MHL,7.095,171.38
"Majuro, Marshall IslandsP.O. Box 321","Majuro, Marshall Islands P.O. Box 321",Majuro/Marshall Islands,MHL,7.09216,171.38
"P.O. Box 321Majuro, Marshall Islands 96960",P.O. Box 321,"Majuro, Marshall Islands",MHL,7.1,171.383333
"Delap VillageP.O. Box 1289 Majuro, Republic of the Marshall Islands",Delap Village P.O. Box 1289,Majuro,MHL,7.071122,171.320014
"Delap Village, P.O. Box 1289, Majuro, Republic of Marshall Islands MH 96960","Delap Village, P.O. Box 1289",Majuro,MHL,7.1,171.388889
"Majuro, Marshall IslandsP.O. Box 1138","Majuro, Marshall Islands P.O. Box 1138","Majuro, Marshall Islands",MHL,7.0869,171.38059
"Delap VillageP.O. Box 1289 Majuro, Republic of the Marshall Islands 96960",Delap Village P.O. Box 1289,Majuro,MHL,7.086111,171.365
"BOE DISTRICT,REPUBLIC OF NAURU",BOE DISTRICT,Nauru,NRU,-0.525,166.92
"BOE DISTRICT, REPUBLIC OF NAURU","BOE DISTRICT, REPUBLIC OF NAURU",Nauru,NRU,-0.525,166.91
MAIN BUILDING ANIBARE NAURU,MAIN BUILDING ANIBARE,Nauru,NRU,-0.52,166.92
MAIN BUILDING ANIBARE DISTRICT NAURU,MAIN BUILDING ANIBARE DISTRICT,Nauru,NRU,-0.52,166.93
"MAIN OFFICE,ANIBARE DISTRICT,
REPUBLIC OF NAURU","MAIN OFFICE, ANIBARE DISTRICT",Nauru,NRU,-0.5238,166.928
"P.O BOX 404, Anibare District, Republic of Nauru","P.O BOX 404, Anibare District",Nauru,NRU,-0.525,166.934444
"BOE DISTRICT, NAURU",BOE DISTRICT,Nauru,NRU,-0.522775,166.925491
"Ewa District, Nauru","Ewa District, Nauru",Nauru,NRU,-0.52,166.92
Ewa District Nauru Island,Ewa District Nauru Island,Nauru,NRU,-0.525,166.93
"EWA DISTRICT, NAURU",EWA DISTRICT,Nauru,NAU,-0.523048,166.928513
"Main office, Anibare District, Republic of Nauru","Main office, Anibare District","Yaren District, Nauru",NRU,-0.5458,166.93
"1094-A North Bay Blvd., Navotas City",1094-A North Bay Blvd.,Navotas City,PHL,14.65256,120.94418
"RD Corporate Center, No. 96 Gov. M.C. Cuenco Avenue, Banilad, Cebu City, Philippines","RD Corporate Center, No. 96 Gov. M.C. Cuenco Avenue, Banilad, Cebu City",Cebu,PHL,10.32,123.9
"1094-A NORTH BAY BLVD, NAVOTAS CITY, PHILIPPINES",1094-A North Bay Blvd,Navotas City,PHL,14.655,120.93778
"The Venue Building, Unit 301-B, Lot C-5 Commercial Area, Subic Bay Gateway Park, Subic Bay Freeport Zone, Zambales, Philippines","The Venue Building, Unit 301-B, Lot C-5 Commercial Area, Subic Bay Gateway Park, Subic Bay Freeport Zone",Zambales,PHL,14.84356,120.28476
"PUROK ESLOME, MAASIM, SARANGANI PROVINCE, PHILIPPINES","PUROK ESLOME, MAASIM, SARANGANI PROVINCE",SARANGANI,PHL,5.05222,125.1775
"1094-A NORTH BAY BLVD., NAVOTAS CITY",1094-A North Bay Blvd.,Navotas City,PHL,14.635,120.94333
"CABU, BAWING, GENERAL SANTOS CITY, PHILIPPINES","CABU, BAWING, GENERAL SANTOS CITY",South Cotabato,PHL,6.0995,125.1735
"PUROK ESLOME, MAASIM, SARANGANI PROVINCE","PUROK ESLOME, MAASIM, SARANGANI PROVINCE",Province of Sarangani,PHL,5.06,125.1775
"Cabu, Bawing, General Santos City, Philippines","Cabu, Bawing, General Santos City",South Cotabato,PHL,6.095,125.00722
"The Venue Building, Unit 301-B Lot C-5, Commercial Area, Subic Bay Gateway Park, Subic Bay Freeport Zone","The Venue Building, Unit 301-B Lot C-5, Commercial Area, Subic Bay Gateway Park",Zambales,PHL,14.83502,120.28618
"P.O BOX 1225, LAE, MOROBE PROVINCEPAPUA NEW GUINEA","P.O BOX 1225, Lae, Morobe Province","Lae, Morobe Province",PNG,-6.7311,146.992418
"P.O Box 1255, Section 227 Lot 1, Speybank St, Lae CityMorobe Province, Papua New Guinea","P.O Box 1255, Section 227 Lot 1, Speybank St, Lae City",Morobe Province,PNG,-6.72642,146.99735
"Section 227, Lot 1, Speybank St, Lae CityPapua New Guinea","Section 227, Lot 1, Speybank St, Lae City",Morobe Province,PNG,-6.7275,147.0
"PO BOX 1255, LAE, MOROBE PROVINCE PAPUA NEW GUINEA",PO BOX 1255,"Lae, Morobe Province",PNG,-6.73333,147.2
PO BOX 1255LAEMOROBE PROVINCEPAPUA NEW GUINEA,PO BOX 1255,Lae Morobe Province,PNG,-6.73,146.99
"P.O. BOX 262 GORDONS NATIONAL CAPITAL DISTRICT, PAPUA NEW GUINEA",P.O. BOX 262 Gordons,National Capital District,PNG,-9.443034,147.179841
"P.O Box 262, Port MoresbyNational Capital DistrictPapua New Guinea","P.O Box 262, Port Moresby",National Capital District,PNG,-9.443333,147.18
"P.O. BOX 262, GORDONS, NATIONAL CAPITAL DISTRICT, PAPUA NEW GUINEA","P.O. BOX 262, GORDONS",National Capital District,PNG,-9.443611,147.18
"P.O. BOX 262, PORT MORESBY. NATIONAL CAPITAL DISTRICT, PAPUA NEW GUINEA","P.O. BOX 262, PORT MORESBY",National Capital District,PNG,-9.44315,147.18021
P. O Box 89 Honiara Solomon Islands,P. O Box 89 Honiara,Guadalcanal Province,SLB,-9.4294,160.6333
"P.O Box 2211, Honiara, Solomon Islands","P.O Box 2211, Honiara",Guadalcanal,SLB,-9.429998,159.950896
"CALLE LOMA LINDA, NO.251, COLONIA SAN BENITOSAN SALVADOR, EL SALVADOR","CALLE LOMA LINDA, NO.251, COLONIA SAN BENITO",San Salvador,SLV,13.69372,-89.20375
"Fongafale Road, Alapi, Funafuti, Tuvalu","Fongafale Road, Alapi, Funafuti",Funafuti,TUV,-5.64406,179.19482
"ALAPI, FUNAFUTI, TUVALU","ALAPI, FUNAFUTI",FUNAFUTI/TUVALU,TUV,-7.10972,179.19444
"No.23,Jhonghau Rd.,Liouciou Township,Pingtung County 92942,Taiwan(R.O.C)","No. 23, Jhonghau Rd., Liouciou Township, Pingtung County 92942",Pingtung County,TWN,22.24815,120.39393
"No.23, Jhonghua Rd., Liouciou Township, Pingtung County 92942, Taiwan (R.O.C.)","No.23, Jhonghua Rd., Liouciou Township, Pingtung County 92942",Pingtung County,TWN,23.27856,120.72876
"No.124-32, Zhenhai Rd., Donggang Township, Pingtung County 92845, Taiwan (R.O.C.)","No.124-32, Zhenhai Rd., Donggang Township, Pingtung County 92845",Pingtung County,TWN,22.41789,120.4661
"No.53, Lane 3, Heping Rd., Liouciou Township, Pingtung County 92942, Taiwan(R.O.C.)","No. 53, Lane 3, Heping Rd., Liouciou Township, Pingtung County 92942",Pingtung County,TWN,22.11582,120.49357
"No. 971-6, Wufang Rd., Xinyuan Township, Pingtung County 932019 , Taiwan (R.O.C.)","No. 971-6, Wufang Rd., Xinyuan Township, Pingtung County 932019",Pingtung County,TWN,22.72917,120.4739
"No. 15, Ln. 91, Yanhai Rd., Donggang Township, Pingtung County 928007 , Taiwan (R.O.C.)","No. 15, Ln. 91, Yanhai Rd., Donggang Township, Pingtung County 928007",Pingtung County,TWN,22.43516,120.46629
"No. 3, Huanmei 8th St., Donggang Township, Pingtung County 928010 , Taiwan (R.O.C.)","No. 3, Huanmei 8th St., Donggang Township, Pingtung County 928010",Pingtung County,TWN,22.38403,120.4578
"No.2-8, Zhonghua Rd., Liuqiu Township, Pingtung County 929, Taiwan (R.O.C.)","No.2-8, Zhonghua Rd., Liuqiu Township, Pingtung County 929",Pingtung County,TWN,22.05628,120.44075
"No. 2-8, Zhonghua Rd., Liuqiu Township, Pingtung County 929002 , Taiwan (R.O.C.)","No. 2-8, Zhonghua Rd., Liuqiu Township, Pingtung County 929002",Pingtung County,TWN,22.30833,120.39389
"No. 170-3, Zhongzheng Rd., Liuqiu Township, Pingtung County 929003 , Taiwan (R.O.C.)","No. 170-3, Zhongzheng Rd., Liuqiu Township, Pingtung County 929003",Pingtung,TWN,22.32701,120.36056
